"","Pack_size","Target_packSize","Other_packsizes","Affinity_score"
"1",270,0.0298457237523297,0.0237618535662094,1.25603516868616
"2",380,0.0301563470697867,0.0240258026304777,1.25516502127309
"3",330,0.0574653137295506,0.0464228464009579,1.23786708882988
"4",134,0.111979705943259,0.0935731621741678,1.19670751037388
"5",110,0.0996583143507973,0.0850431009508604,1.1718565437587
"6",210,0.0273089666597639,0.0240000515022564,1.13787116903463
"7",250,0.0134603437564713,0.011858394545911,1.13508988964384
"8",135,0.0138486229032926,0.0126051772643289,1.09864562892602
"9",170,0.0757403189066059,0.0763907218685019,0.991485838253819
"10",175,0.239102298612549,0.248208687143105,0.963311564009418
"11",300,0.0549544419134396,0.0581267341775412,0.945424557065048
"12",150,0.155130461793332,0.16435657587248,0.943865257412598
"13",165,0.0521847173327811,0.0585130011008607,0.891848244851236
"14",180,0.00336508593911783,0.00544636361880605,0.617859212979893
"15",190,0.00701490991923794,0.0117425144689152,0.597394189958874
"16",160,0.00600538413750259,0.0108734138914461,0.552299783440313
"17",90,0.00595361358459308,0.0112210541224337,0.530575248959035
"18",125,0.00282149513356803,0.00537554801619746,0.524875812673679
"19",70,0.00284738041002278,0.00565237264457649,0.50374959137821
"20",200,0.00841271484779457,0.016789735600291,0.50106297371644
"21",220,0.00274383930420377,0.00601288843967476,0.456326328308227
